name,batting_score,bowling_score,overall_score,salary,team,season
A Kumble,-0.65,221.27,220.62,500000,Royal Challengers Bangalore,2010
A Symonds,-20.85,57.76,36.91,1350000,Deccan Chargers,2010
AC Gilchrist,29.75,0,29.75,700000,Deccan Chargers,2010
DPMD Jayawardene,58.32,0,58.32,475000,Kings XI Punjab,2010
DW Steyn,-0.85,151.31,150.46,325000,Royal Challengers Bangalore,2010
HH Gibbs,-16.33,0,-16.33,575000,Deccan Chargers,2010
Harbhajan Singh,21.58,99.61,121.19,850000,Mumbai Indians,2010
IK Pathan,51.17,-215.96,-164.79,925000,Kings XI Punjab,2010
JA Morkel,32.79,-93.7,-60.91,675000,Chennai Super Kings,2010
JH Kallis,-79.92,-83.33,-163.25,900000,Royal Challengers Bangalore,2010
KA Pollard,67.06,-11.86,55.2,750000,Mumbai Indians,2010
KC Sangakkara,26.08,0,26.08,700000,Kings XI Punjab,2010
KP Pietersen,37.87,-2.98,34.89,1550000,Royal Challengers Bangalore,2010
M Muralitharan,-0.63,52.21,51.58,600000,Chennai Super Kings,2010
MK Tiwary,1.77,-2.95,-1.18,675000,Kolkata Knight Riders,2010
ML Hayden,-37.32,0,-37.32,375000,Chennai Super Kings,2010
MS Dhoni,19.41,0,19.41,1500000,Chennai Super Kings,2010
PP Chawla,-6.08,9.4,3.32,400000,Kings XI Punjab,2010
RG Sharma,-13.67,-30.34,-44.01,750000,Deccan Chargers,2010
RP Singh,-1.19,-190.63,-191.82,875000,Deccan Chargers,2010
RS Bopara,-32.8,-59.9,-92.7,450000,Kings XI Punjab,2010
RV Uthappa,81.77,0,81.77,800000,Royal Challengers Bangalore,2010
SK Raina,23.67,21.86,45.53,650000,Chennai Super Kings,2010
YK Pathan,58.12,-10.02,48.1,475000,Rajasthan Royals,2010
Z Khan,10.95,20.23,31.18,450000,Mumbai Indians,2010
A Kumble,2.67,225.66,228.33,500000,Royal Challengers Bangalore,2009
A Symonds,46.88,36.7,83.58,1350000,Deccan Chargers,2009
AB de Villiers,31.97,0,31.97,300000,Delhi Daredevils,2009
AC Gilchrist,111.55,0,111.55,700000,Deccan Chargers,2009
BB McCullum,3.81,0,3.81,700000,Kolkata Knight Riders,2009
DPMD Jayawardene,12.77,0,12.77,475000,Kings XI Punjab,2009
DR Smith,57.43,-89.52,-32.09,100000,Deccan Chargers,2009
G Gambhir,-35.08,0,-35.08,725000,Delhi Daredevils,2009
GC Smith,-39.64,0,-39.64,250000,Rajasthan Royals,2009
HH Gibbs,-9.07,0,-9.07,575000,Deccan Chargers,2009
Harbhajan Singh,20.48,122.65,143.13,850000,Mumbai Indians,2009
I Sharma,1.51,22.28,23.79,950000,Kolkata Knight Riders,2009
IK Pathan,32.26,-103.2,-70.94,925000,Kings XI Punjab,2009
JA Morkel,8.95,-113.93,-104.98,675000,Chennai Super Kings,2009
JH Kallis,-36.11,-92.14,-128.25,900000,Royal Challengers Bangalore,2009
JP Duminy,-6.6,87.46,80.86,950000,Mumbai Indians,2009
KC Sangakkara,-63.2,0,-63.2,700000,Kings XI Punjab,2009
KD Karthik,24.61,0,24.61,525000,Delhi Daredevils,2009
M Muralitharan,2.67,281.2,283.87,600000,Chennai Super Kings,2009
ML Hayden,108.39,0,108.39,375000,Chennai Super Kings,2009
MM Patel,10.91,23.28,34.19,275000,Rajasthan Royals,2009
MS Dhoni,33.69,0,33.69,1500000,Chennai Super Kings,2009
PP Chawla,-4.27,32.37,28.1,400000,Kings XI Punjab,2009
RG Sharma,-27.61,11.61,-16,750000,Deccan Chargers,2009
RP Singh,-7.37,2.02,-5.35,875000,Deccan Chargers,2009
SK Raina,58.14,85.64,143.78,650000,Chennai Super Kings,2009
SK Warne,1.3,-17.43,-16.13,450000,Rajasthan Royals,2009
ST Jayasuriya,-12.26,-54.72,-66.98,975000,Mumbai Indians,2009
TM Dilshan,-3.96,34.94,30.98,250000,Delhi Daredevils,2009
YK Pathan,35.23,14.28,49.51,475000,Rajasthan Royals,2009
A Mishra,17.65,60.74,78.39,300000,Deccan Chargers,2011
AB de Villiers,21.7,0,21.7,1100000,Royal Challengers Bangalore,2011
AC Gilchrist,14.6,0,14.6,900000,Kings XI Punjab,2011
AC Thomas,-0.58,-63.84,-64.42,100000,Pune Warriors,2011
BB McCullum,0.69,0,0.69,475000,Kochi Tuskers Kerala,2011
BJ Hodge,-8.06,4.7,-3.36,425000,Kochi Tuskers Kerala,2011
CH Gayle,194.1,-0.1,194,650000,Royal Challengers Bangalore,2011
DE Bollinger,-0.4,-21.62,-22.02,700000,Chennai Super Kings,2011
DL Vettori,-4.47,181.12,176.65,550000,Royal Challengers Bangalore,2011
DPMD Jayawardene,-16.66,0,-16.66,1500000,Kochi Tuskers Kerala,2011
DW Steyn,3.26,63.68,66.94,1200000,Deccan Chargers,2011
G Gambhir,-22.33,0,-22.33,2400000,Kolkata Knight Riders,2011
Harbhajan Singh,11.21,26.67,37.88,850000,Mumbai Indians,2011
I Sharma,-0.43,-31.29,-31.72,450000,Deccan Chargers,2011
J Botha,-18.09,66.57,48.48,950000,Rajasthan Royals,2011
JA Morkel,10.47,-188.55,-178.08,675000,Chennai Super Kings,2011
JD Ryder,46.48,-12.96,33.52,150000,Pune Warriors,2011
JH Kallis,-30.48,11.87,-18.61,1100000,Kolkata Knight Riders,2011
JP Duminy,-13.32,-54.42,-67.74,300000,Deccan Chargers,2011
KA Pollard,-2.39,-191.47,-193.86,750000,Mumbai Indians,2011
KC Sangakkara,-14.76,0,-14.76,700000,Deccan Chargers,2011
KD Karthik,20.85,0,20.85,900000,Kings XI Punjab,2011
MEK Hussey,-24.69,0,-24.69,425000,Chennai Super Kings,2011
MK Tiwary,-33.69,-8.15,-41.84,475000,Kolkata Knight Riders,2011
MM Patel,-0.84,32.67,31.83,700000,Mumbai Indians,2011
MS Dhoni,85.61,0,85.61,1500000,Chennai Super Kings,2011
PP Chawla,1.57,-86.1,-84.53,900000,Kings XI Punjab,2011
R Ashwin,-3.31,180.03,176.72,850000,Chennai Super Kings,2011
R Dravid,-35.44,0,-35.44,500000,Rajasthan Royals,2011
R Vinay Kumar,3.52,-68.84,-65.32,475000,Kochi Tuskers Kerala,2011
