Sl. No.,State/UT,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Andhra Pradesh,418,244,654,312,231,97,128,50,22,47
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
3,Assam,5,0,0,6,0,0,3,0,0,1
4,Bihar,85,131,86,85,84,64,215,53,57,78
5,Chhattisgarh,3,4,2,9,11,1,16,3,2,11
6,Goa,0,0,0,0,0,0,0,0,0,0
7,Gujarat,26,45,52,32,25,31,27,12,8,5
8,Haryana,82,79,34,76,24,56,46,23,14,27
9,Himachal Pradesh,0,1,0,0,0,0,0,0,1,0
10,Jharkhand,42,50,96,45,51,42,88,23,33,47
11,Karnataka,6,2,0,17,0,0,4,1,0,2
12,Kerala,1,0,1,4,1,1,3,0,0,0
13,Madhya Pradesh,12,33,24,26,34,15,33,7,2,27
14,Maharashtra,80,58,61,96,102,128,159,56,37,90
15,Manipur,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,2,0,0,0,4,0,0,0,0
17,Mizoram,1,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0
19,Odisha,101,78,60,81,99,40,84,13,15,38
20,Punjab,144,123,99,145,60,38,90,110,91,130
21,Rajasthan,40,45,41,51,35,43,54,23,1,12
22,Sikkim,0,0,0,0,0,0,1,0,0,0
23,Tamil Nadu,0,0,0,1,0,0,0,0,2,2
24,Telangana,NA,128,182,216,180,107,156,98,43,62
25,Tripura,12,2,0,2,0,1,1,2,0,2
26,Uttar Pradesh,108,126,487,114,142,176,117,50,35,130
27,Uttarakhand,0,0,0,0,0,0,0,0,0,0
28,West Bengal,45,88,28,18,48,46,49,6,11,18
Total State (S),Total State (S),1211,1239,1907,1336,1127,890,1274,530,374,729
29,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0,0,0,0
31,Dadra and Nicobar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,0
32,Delhi,2,9,0,1,0,0,0,0,0,1
33,Jammu and Kashmir,3,0,1,1,0,0,0,0,0,0
34,Ladakh,NA,NA,NA,NA,NA,NA,NA,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0
Total UT (S),Total UT (S),5,9,1,2,0,0,0,0,0,1
Total (All India),Total (All India),1216,1248,1908,1338,1127,890,1274,530,374,730
