State,Region,Year,Renewable_generation_GWh,Installed_capacity_MW
Andhra Pradesh,South,2013,8200,10500
Andhra Pradesh,South,2014,8868,11130
Andhra Pradesh,South,2015,9420,11760
Andhra Pradesh,South,2016,9779,12390
Andhra Pradesh,South,2017,9984,13020
Andhra Pradesh,South,2018,10178,13650
Andhra Pradesh,South,2019,10526,14280
Andhra Pradesh,South,2020,11106,14910
Andhra Pradesh,South,2021,11856,15540
Andhra Pradesh,South,2022,12600,16170
Andhra Pradesh,South,2023,13150,16800
Andhra Pradesh,South,2024,13430,17430
Arunachal Pradesh,Northeast,2013,615,900
Arunachal Pradesh,Northeast,2014,658,958
Arunachal Pradesh,Northeast,2015,687,1017
Arunachal Pradesh,Northeast,2016,705,1076
Arunachal Pradesh,Northeast,2017,722,1134
Arunachal Pradesh,Northeast,2018,750,1192
Arunachal Pradesh,Northeast,2019,794,1251
Arunachal Pradesh,Northeast,2020,851,1310
Arunachal Pradesh,Northeast,2021,908,1368
Arunachal Pradesh,Northeast,2022,950,1426
Arunachal Pradesh,Northeast,2023,974,1485
Arunachal Pradesh,Northeast,2024,983,1544
Assam,Northeast,2013,983,1200
Assam,Northeast,2014,1034,1284
Assam,Northeast,2015,1068,1368
Assam,Northeast,2016,1100,1452
Assam,Northeast,2017,1148,1536
Assam,Northeast,2018,1222,1620
Assam,Northeast,2019,1314,1704
Assam,Northeast,2020,1407,1788
Assam,Northeast,2021,1478,1872
Assam,Northeast,2022,1519,1956
Assam,Northeast,2023,1539,2040
Assam,Northeast,2024,1562,2124
Bihar,East,2013,819,1050
Bihar,East,2014,852,1129
Bihar,East,2015,883,1208
Bihar,East,2016,927,1286
Bihar,East,2017,992,1365
Bihar,East,2018,1072,1444
Bihar,East,2019,1153,1522
Bihar,East,2020,1216,1601
Bihar,East,2021,1254,1680
Bihar,East,2022,1275,1759
Bihar,East,2023,1297,1838
Bihar,East,2024,1342,1916
Chhattisgarh,Central,2013,2096,2800
Chhattisgarh,Central,2014,2190,3024
Chhattisgarh,Central,2015,2315,3248
Chhattisgarh,Central,2016,2491,3472
Chhattisgarh,Central,2017,2707,3696
Chhattisgarh,Central,2018,2925,3920
Chhattisgarh,Central,2019,3098,4144
Chhattisgarh,Central,2020,3208,4368
Chhattisgarh,Central,2021,3273,4592
Chhattisgarh,Central,2022,3342,4816
Chhattisgarh,Central,2023,3468,5040
Chhattisgarh,Central,2024,3670,5264
Goa,West,2013,243,340
Goa,West,2014,259,360
Goa,West,2015,281,381
