Headline,Publication,Date,URL,Tags,Project_type,Topics,Role,Tech stack,Summary,Download PDF,Featured
Dead man talking: pushing the limits of curated feeds ,The Hindu,4-Mar-26,https://www.thehindu.com/opinion/op-ed/dead-person-talking-pushing-the-limits-of-curated-feeds/article70700885.ece,Opinion,Writing,"Meta, AI",Writing,N/A,"Meta has technology to let AI impersonate a dead person, but who owns a person’s likeness after death and what happens when a bot expresses views the individual might have outgrown if alive?",meta.pdf,Yes
Inside cyber-scam factories trapping Indians in Southeast Asia,The Hindu,22-Feb-26,https://www.thehindu.com/infographics/2026-02-22/digital-arrest-india-cyber-scams-south-east-asia/index.html,Feature,Interactive,"Scam centers, South east Asia","Web development, writing","D3, Svelte","A look at scam centers trapping thousands of Indians, among hundreds of thousands of others, in South east Asian countries and forcing them to fraud more peopleprogramme — the journey so far, the road ahead. The project also features a 3D model of the Gaganyaan!",-,Yes
Is the Artificial Intelligence boom a bubble?,The Hindu,18-Dec-25,https://www.thehindu.com/podcast/in-focus-parley-is-the-artificial-intelligence-boom-a-bubble/article70412059.ece,Podcast,Podcast,AI,"Writing, reporting",N/A,"Global spending on Artificial Intelligence (AI) is projected to reach $375 billion this year and and $500 billion by 2026. Is AI’s value being driven by technological progress, or mere investor enthusiasm?",-,Yes
The Gaganyaan Story,The Hindu,10-Dec-25,https://www.thehindu.com/infographics/2025-12-10/gaganyaan-india-isro-space-mission/index.html,Feature,Interactive,"Gaganyaan, ISRO, space mission",Web development,"Three.js, D3, GSAP (JavaScript), Svelte","A glimpse into India’s ambitious new human spaceflight programme — the journey so far, the road ahead. The project also features a 3D model of the Gaganyaan!",-,Yes
Bihar Assembly election results,The Hindu,16-Nov-25,https://www.thehindu.com/infographics/2025-11-16/bihar-assembly-election-results-2025/index.html?year=2025,Data,Interactive,"Bihar special intensive revision, elections","Data analysis, web development","Python, D3","This interactive lets readers explore the 2015, 2020 and 2025 Bihar Assembly election results through maps, filters and constituency-level breakdowns.",-,No
The problem with Vance’s conversion wish,The Hindu,12-Nov-25,https://www.thehindu.com/opinion/op-ed/the-problem-with-vances-conversion-wish/article70262316.ece,Opinion,Writing,"Opinion, US politics",Writing,N/A,U.S. Vice President JD Vance’s comment hoping his Hindu wife would convert to Christianity evokes a disquieting historical parallel of a time when faith justified colonisation.,op-ed.pdf,Yes
No evidence of disproportionate Muslim deletions in Bihar SIR ,The Hindu,3-Nov-25,https://www.thehindu.com/data/no-evidence-of-disproportionate-muslim-deletions-in-bihar-sir/article70025568.ece,Investigative,Writing,Bihar special intensive revision,"Data analysis, writing","SQLite, Python",This article forms a part of the coverage of Bihar SIR,bihar.pdf,Yes
Parsing Bihar: How The Hindu’s Data Team cracked the SIR puzzle,The Hindu,18-Sep-25,https://www.thehindu.com/newsletter/newsletter-data/parsing-bihar-how-the-hindus-data-team-cracked-the-sir-puzzle/article70061213.ece,Feature,Writing,Bihar special intensive revision,Writing,N/A,"This article forms a part of the Data Point newsletter curated by The Hindu’s Data team, it dives into the process behind scraping, organizing and analyzing data for our Bihar SIR coverage.",Newsletter.pdf,No
"Bihar’s deleted voters: by age, reason and gender",The Hindu,1-Sep-25,https://www.thehindu.com/infographics/2025-09-01/bihar-voter-rolls-deleted-voters-interactive-elections-sir/index.html,Data,Interactive,Bihar special intensive revision,"Data analysis, web development","SQLite, D3, Python, JavaScript","A public, constituency-level reference tool, that lets anyone search and filter Bihar’s 65-lakh voter deletions, sortable by reson of deletion, age-groups, gender-wise breakdown.",-,Yes
Taking on the heat: How heat stressed are you in Chennai?,The Hindu,12-Jul-25,https://www.thehindu.com/infographics/2025-07-12/heat-stress-in-chennai/index.html,Data,Interactive,Environment,"Data analysis, web development","D3, Adobe Illustrator",The Hindu data team's first experiential news story to report on the adverse effect of heat and humidity on blue-collar workers in Chennai ,-,Yes
80 years ago: The atomic bombings of Hiroshima and Nagasaki,The Hindu,5-Aug-25,https://www.thehindu.com/infographics/2025-08-05/hiroshimanagasaki/index.html,Feature,Web design,"Hiroshima, Nagasaki anniversary",Web development,JavaScript,"A remembrance of the first and thankfully last, time humans used atomic weapons in war",-,No
Neeraj joins the 90m club!,The Hindu,6-Jun-25,https://www.thehindu.com/infographics/2025-06-06/neeraj-chopra-90m-throw/index.html,Feature,Web design,Javelin throwing,Web development,"D3, GSAP (JavaScript)",A celebration of Neeraj Chopra's historic 90-m breaching javelin throw.,-,No
"Foundations give big boosts to some Knox County schools, but others are left behind",Knox News,23-Apr-24,https://www.knoxnews.com/story/news/education/2024/04/23/knox-county-schools-foundations-boost-some-but-others-are-left-out/73417988007/,Investigative,Writing,Education,"Data collection, reporting, writing",N/A,"Private fundraising makes public schools unequal. How foundations mostly in wealthier neighborhoods raise hundreds of thousands to fund extras and even pay staff, while others rely on grants and shared programs, leaving students with disparate opportunities.",Foundations.pdf,Yes
