Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
A Mishra,Delhi Daredevils,-13.37,64.8,51.43,51.43,2007_08,2007_08,A Mishra|Delhi Daredevils,A Mishra|Delhi Daredevils|2007_08,#N/A
A Nehra,Mumbai Indians,-7.9,20.61,12.71,12.71,2007_08,2007_08,A Nehra|Mumbai Indians,A Nehra|Mumbai Indians|2007_08,#N/A
AC Gilchrist,Deccan Chargers,21.23,0,21.23,21.23,2007_08,2007_08,AC Gilchrist|Deccan Chargers,AC Gilchrist|Deccan Chargers|2007_08,#N/A
DJ Hussey,Kolkata Knight Riders,-32.26,-54.62,-86.88,-86.87,2007_08,2007_08,DJ Hussey|Kolkata Knight Riders,DJ Hussey|Kolkata Knight Riders|2007_08,#N/A
DS Kulkarni,Mumbai Indians,-5.39,-5.01,-10.4,-10.4,2007_08,2007_08,DS Kulkarni|Mumbai Indians,DS Kulkarni|Mumbai Indians|2007_08,#N/A
DW Steyn,Royal Challengers Bangalore,-0.75,120.74,119.99,119.99,2007_08,2007_08,DW Steyn|Royal Challengers Bangalore,DW Steyn|Royal Challengers Bangalore|2007_08,#N/A
G Gambhir,Delhi Daredevils,25,0,25,25,2007_08,2007_08,G Gambhir|Delhi Daredevils,G Gambhir|Delhi Daredevils|2007_08,#N/A
GC Smith,Rajasthan Royals,-16.44,0,-16.44,-16.44,2007_08,2007_08,GC Smith|Rajasthan Royals,GC Smith|Rajasthan Royals|2007_08,#N/A
GD McGrath,Delhi Daredevils,1.25,207.24,208.49,208.49,2007_08,2007_08,GD McGrath|Delhi Daredevils,GD McGrath|Delhi Daredevils|2007_08,#N/A
IK Pathan,Kings XI Punjab,-9.52,201.52,192,192,2007_08,2007_08,IK Pathan|Kings XI Punjab,IK Pathan|Kings XI Punjab|2007_08,#N/A
JA Morkel,Chennai Super Kings,21.4,-64.65,-43.25,-43.25,2007_08,2007_08,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2007_08,#N/A
JR Hopes,Kings XI Punjab,33.76,-196.16,-162.4,-162.4,2007_08,2007_08,JR Hopes|Kings XI Punjab,JR Hopes|Kings XI Punjab|2007_08,#N/A
KC Sangakkara,Kings XI Punjab,65.05,0,65.05,65.05,2007_08,2007_08,KC Sangakkara|Kings XI Punjab,KC Sangakkara|Kings XI Punjab|2007_08,#N/A
L Balaji,Chennai Super Kings,-4.19,-56.7,-60.89,-60.89,2007_08,2007_08,L Balaji|Chennai Super Kings,L Balaji|Chennai Super Kings|2007_08,#N/A
M Muralitharan,Chennai Super Kings,0,104.81,104.81,104.81,2007_08,2007_08,M Muralitharan|Chennai Super Kings,M Muralitharan|Chennai Super Kings|2007_08,#N/A
MF Maharoof,Delhi Daredevils,27.44,105.16,132.6,132.6,2007_08,2007_08,MF Maharoof|Delhi Daredevils,MF Maharoof|Delhi Daredevils|2007_08,#N/A
MM Patel,Rajasthan Royals,-0.55,34.52,33.97,33.97,2007_08,2007_08,MM Patel|Rajasthan Royals,MM Patel|Rajasthan Royals|2007_08,#N/A
MS Dhoni,Chennai Super Kings,-22.32,0,-22.32,-22.32,2007_08,2007_08,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2007_08,#N/A
MS Gony,Chennai Super Kings,8.07,89.82,97.89,97.89,2007_08,2007_08,MS Gony|Chennai Super Kings,MS Gony|Chennai Super Kings|2007_08,#N/A
MV Boucher,Royal Challengers Bangalore,1.48,0,1.48,1.48,2007_08,2007_08,MV Boucher|Royal Challengers Bangalore,MV Boucher|Royal Challengers Bangalore|2007_08,#N/A
P Kumar,Royal Challengers Bangalore,-7.94,-54.8,-62.74,-62.74,2007_08,2007_08,P Kumar|Royal Challengers Bangalore,P Kumar|Royal Challengers Bangalore|2007_08,#N/A
PA Patel,Chennai Super Kings,-103.65,0,-103.65,-103.65,2007_08,2007_08,PA Patel|Chennai Super Kings,PA Patel|Chennai Super Kings|2007_08,#N/A
PP Chawla,Kings XI Punjab,16.84,-40.22,-23.38,-23.38,2007_08,2007_08,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2007_08,#N/A
PP Ojha,Deccan Chargers,-1.35,-31.71,-33.06,-33.07,2007_08,2007_08,PP Ojha|Deccan Chargers,PP Ojha|Deccan Chargers|2007_08,#N/A
R Dravid,Royal Challengers Bangalore,20.87,0,20.87,20.87,2007_08,2007_08,R Dravid|Royal Challengers Bangalore,R Dravid|Royal Challengers Bangalore|2007_08,#N/A
RG Sharma,Deccan Chargers,48.06,5.73,53.79,53.79,2007_08,2007_08,RG Sharma|Deccan Chargers,RG Sharma|Deccan Chargers|2007_08,#N/A
RP Singh,Deccan Chargers,-3.17,-136.65,-139.82,-139.82,2007_08,2007_08,RP Singh|Deccan Chargers,RP Singh|Deccan Chargers|2007_08,#N/A
RV Uthappa,Mumbai Indians,-46.15,0,-46.15,-46.15,2007_08,2007_08,RV Uthappa|Mumbai Indians,RV Uthappa|Mumbai Indians|2007_08,#N/A
S Dhawan,Delhi Daredevils,-39.34,0,-39.34,-39.34,2007_08,2007_08,S Dhawan|Delhi Daredevils,S Dhawan|Delhi Daredevils|2007_08,#N/A
S Sreesanth,Kings XI Punjab,-1.3,-105.77,-107.07,-107.08,2007_08,2007_08,S Sreesanth|Kings XI Punjab,S Sreesanth|Kings XI Punjab|2007_08,#N/A
SA Asnodkar,Rajasthan Royals,20.32,0,20.32,20.32,2007_08,2007_08,SA Asnodkar|Rajasthan Royals,SA Asnodkar|Rajasthan Royals|2007_08,#N/A
SC Ganguly,Kolkata Knight Riders,-50.11,55.25,5.14,5.15,2007_08,2007_08,SC Ganguly|Kolkata Knight Riders,SC Ganguly|Kolkata Knight Riders|2007_08,#N/A
SE Marsh,Kings XI Punjab,32.07,0,32.07,32.07,2007_08,2007_08,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2007_08,#N/A
SK Raina,Chennai Super Kings,52.84,-3.44,49.4,49.4,2007_08,2007_08,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2007_08,#N/A
SK Trivedi,Rajasthan Royals,-0.22,-51.22,-51.44,-51.44,2007_08,2007_08,SK Trivedi|Rajasthan Royals,SK Trivedi|Rajasthan Royals|2007_08,#N/A
SK Warne,Rajasthan Royals,-1.96,40.88,38.92,38.91,2007_08,2007_08,SK Warne|Rajasthan Royals,SK Warne|Rajasthan Royals|2007_08,#N/A
SM Pollock,Mumbai Indians,11.16,140.1,151.26,151.26,2007_08,2007_08,SM Pollock|Mumbai Indians,SM Pollock|Mumbai Indians|2007_08,#N/A
SR Watson,Rajasthan Royals,44.91,102.22,147.13,147.14,2007_08,2007_08,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2007_08,#N/A
ST Jayasuriya,Mumbai Indians,68.47,18.23,86.7,86.7,2007_08,2007_08,ST Jayasuriya|Mumbai Indians,ST Jayasuriya|Mumbai Indians|2007_08,#N/A
Sohail Tanvir,Rajasthan Royals,10.01,110.88,120.89,120.89,2007_08,2007_08,Sohail Tanvir|Rajasthan Royals,Sohail Tanvir|Rajasthan Royals|2007_08,#N/A
Umar Gul,Kolkata Knight Riders,16.21,-67.76,-51.55,-51.55,2007_08,2007_08,Umar Gul|Kolkata Knight Riders,Umar Gul|Kolkata Knight Riders|2007_08,#N/A
V Sehwag,Delhi Daredevils,123.91,-132.66,-8.75,-8.75,2007_08,2007_08,V Sehwag|Delhi Daredevils,V Sehwag|Delhi Daredevils|2007_08,#N/A
VRV Singh,Kings XI Punjab,1.49,-102.36,-100.87,-100.87,2007_08,2007_08,VRV Singh|Kings XI Punjab,VRV Singh|Kings XI Punjab|2007_08,#N/A
VY Mahesh,Delhi Daredevils,2.83,-116.53,-113.7,-113.7,2007_08,2007_08,VY Mahesh|Delhi Daredevils,VY Mahesh|Delhi Daredevils|2007_08,#N/A
Y Venugopal Rao,Deccan Chargers,-3.17,-42.36,-45.53,-45.53,2007_08,2007_08,Y Venugopal Rao|Deccan Chargers,Y Venugopal Rao|Deccan Chargers|2007_08,#N/A
YK Pathan,Rajasthan Royals,82.37,-33.88,48.49,48.49,2007_08,2007_08,YK Pathan|Rajasthan Royals,YK Pathan|Rajasthan Royals|2007_08,#N/A
Yuvraj Singh,Kings XI Punjab,47.73,-25.9,21.83,21.83,2007_08,2007_08,Yuvraj Singh|Kings XI Punjab,Yuvraj Singh|Kings XI Punjab|2007_08,#N/A
Z Khan,Royal Challengers Bangalore,-2.05,-100.1,-102.15,-102.15,2007_08,2007_08,Z Khan|Royal Challengers Bangalore,Z Khan|Royal Challengers Bangalore|2007_08,#N/A
A Kumble,Royal Challengers Bangalore,-0.65,221.27,220.62,220.62,2009_10,2010,A Kumble|Royal Challengers Bangalore,A Kumble|Royal Challengers Bangalore|2010,500000
A Symonds,Deccan Chargers,-20.85,57.76,36.91,36.91,2009_10,2010,A Symonds|Deccan Chargers,A Symonds|Deccan Chargers|2010,1350000
AC Gilchrist,Deccan Chargers,29.75,0,29.75,29.75,2009_10,2010,AC Gilchrist|Deccan Chargers,AC Gilchrist|Deccan Chargers|2010,700000
AD Mathews,Kolkata Knight Riders,-13.88,-72.97,-86.85,-86.85,2009_10,2010,AD Mathews|Kolkata Knight Riders,AD Mathews|Kolkata Knight Riders|2010,#N/A
AT Rayudu,Mumbai Indians,30.41,0,30.41,30.41,2009_10,2010,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2010,#N/A
CH Gayle,Kolkata Knight Riders,34.33,-59.3,-24.97,-24.97,2009_10,2010,CH Gayle|Kolkata Knight Riders,CH Gayle|Kolkata Knight Riders|2010,#N/A
DE Bollinger,Chennai Super Kings,4.15,97.38,101.53,101.54,2009_10,2010,DE Bollinger|Chennai Super Kings,DE Bollinger|Chennai Super Kings|2010,#N/A
DPMD Jayawardene,Kings XI Punjab,58.32,0,58.32,58.32,2009_10,2010,DPMD Jayawardene|Kings XI Punjab,DPMD Jayawardene|Kings XI Punjab|2010,475000
DW Steyn,Royal Challengers Bangalore,-0.85,151.31,150.46,150.47,2009_10,2010,DW Steyn|Royal Challengers Bangalore,DW Steyn|Royal Challengers Bangalore|2010,325000
HH Gibbs,Deccan Chargers,-16.33,0,-16.33,-16.33,2009_10,2010,HH Gibbs|Deccan Chargers,HH Gibbs|Deccan Chargers|2010,575000
Harbhajan Singh,Mumbai Indians,21.58,99.61,121.19,121.2,2009_10,2010,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2010,850000
IK Pathan,Kings XI Punjab,51.17,-215.96,-164.79,-164.79,2009_10,2010,IK Pathan|Kings XI Punjab,IK Pathan|Kings XI Punjab|2010,925000
JA Morkel,Chennai Super Kings,32.79,-93.7,-60.91,-60.91,2009_10,2010,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2010,675000
JH Kallis,Royal Challengers Bangalore,-79.92,-83.33,-163.25,-163.25,2009_10,2010,JH Kallis|Royal Challengers Bangalore,JH Kallis|Royal Challengers Bangalore|2010,900000
KA Pollard,Mumbai Indians,67.06,-11.86,55.2,55.2,2009_10,2010,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2010,750000
KC Sangakkara,Kings XI Punjab,26.08,0,26.08,26.08,2009_10,2010,KC Sangakkara|Kings XI Punjab,KC Sangakkara|Kings XI Punjab|2010,700000
KP Pietersen,Royal Challengers Bangalore,37.87,-2.98,34.89,34.89,2009_10,2010,KP Pietersen|Royal Challengers Bangalore,KP Pietersen|Royal Challengers Bangalore|2010,1550000
M Muralitharan,Chennai Super Kings,-0.63,52.21,51.58,51.58,2009_10,2010,M Muralitharan|Chennai Super Kings,M Muralitharan|Chennai Super Kings|2010,600000
M Vijay,Chennai Super Kings,67.63,0,67.63,67.63,2009_10,2010,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2010,#N/A
MJ Lumb,Rajasthan Royals,31.39,0,31.39,31.39,2009_10,2010,MJ Lumb|Rajasthan Royals,MJ Lumb|Rajasthan Royals|2010,#N/A
MK Pandey,Royal Challengers Bangalore,-2.81,0,-2.81,-2.81,2009_10,2010,MK Pandey|Royal Challengers Bangalore,MK Pandey|Royal Challengers Bangalore|2010,#N/A
MK Tiwary,Kolkata Knight Riders,1.77,-2.95,-1.18,-1.18,2009_10,2010,MK Tiwary|Kolkata Knight Riders,MK Tiwary|Kolkata Knight Riders|2010,675000
ML Hayden,Chennai Super Kings,-37.32,0,-37.32,-37.32,2009_10,2010,ML Hayden|Chennai Super Kings,ML Hayden|Chennai Super Kings|2010,375000
MS Bisla,Kings XI Punjab,-19.91,0,-19.91,-19.91,2009_10,2010,MS Bisla|Kings XI Punjab,MS Bisla|Kings XI Punjab|2010,#N/A
MS Dhoni,Chennai Super Kings,19.41,0,19.41,19.41,2009_10,2010,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2010,1500000
